Aircraft,Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Food_&_Beverages,Inflight_Entertainment,Ground_Service,Wifi_&_Connectivity,Value_For_Money,Recommended
a320,Solo Leisure,Economy Class,Istanbul to London,January 2020,2.0,2.0,3.0,3.0,1.0,1.0,1,0
boeing 7879,Solo Leisure,Business Class,London to Rio De Janeiro,December 2019,5.0,5.0,5.0,5.0,4.0,2.0,5,1
a321neo,Family Leisure,Economy Class,London to Athens,December 2019,3.0,1.0,1.0,3.0,3.0,1.0,4,0
a320,Solo Leisure,Economy Class,Budapest to Billund via London,December 2019,3.0,3.0,2.0,1.0,4.0,1.0,3,1
boeing 777300er,Solo Leisure,Economy Class,Sydney to Toulouse via Singapore / London,December 2019,5.0,5.0,5.0,2.0,4.0,1.0,5,1
a321neo,Solo Leisure,Business Class,Sofia to London,October 2019,3.0,4.0,4.0,3.0,3.0,1.0,4,1
a320,Solo Leisure,Economy Class,London to Munich,December 2019,2.0,1.0,3.0,3.0,1.0,1.0,1,0
boeing 777  200,Business,Economy Class,New York to London,December 2019,2.0,2.0,1.0,1.0,5.0,1.0,5,0
boeing 747400,Business,Business Class,London to San Francisco ,December 2019,3.0,5.0,4.0,4.0,5.0,5.0,4,1
a380,Solo Leisure,Business Class,London to Singapore,October 2019,4.0,5.0,5.0,1.0,5.0,1.0,5,1
a319,Solo Leisure,Business Class,London Heathrow to Stockholm,November 2019,3.0,5.0,5.0,3.0,5.0,1.0,4,1
a380,Family Leisure,Economy Class,Johannesburg to London,November 2019,1.0,3.0,3.0,3.0,2.0,1.0,1,0
a380,Couple Leisure,Business Class,Johannesburg to London,December 2019,3.0,3.0,3.0,3.0,3.0,1.0,4,1
boeing 747400,Solo Leisure,First Class,London Heathrow to Miami,November 2019,4.0,5.0,5.0,5.0,5.0,1.0,5,1
a319,Solo Leisure,Business Class,Stockholm to London Heathrow,November 2019,3.0,5.0,5.0,3.0,5.0,1.0,4,1
boeing 777300,Couple Leisure,Economy Class,London to Sydney via Singapore,November 2019,3.0,4.0,4.0,2.0,3.0,1.0,4,1
boeing 747400,Couple Leisure,Business Class,London to New York JFK,November 2019,1.0,4.0,3.0,1.0,1.0,1.0,1,0
boeing 777,Business,Business Class,Brussels to Bangkok via London,November 2019,4.0,2.0,2.0,3.0,4.0,1.0,3,0
boeing 777200,Business,Economy Class,San Francisco to Oslo via London,November 2019,1.0,2.0,2.0,3.0,1.0,1.0,1,0
a380,Couple Leisure,Business Class,London to Johannesburg ,November 2019,3.0,3.0,3.0,3.0,3.0,1.0,3,1
boeing 7879,Family Leisure,Economy Class,doha to londonDoha to London,November 2019,5.0,5.0,4.0,4.0,5.0,1.0,5,1
a380,Couple Leisure,Economy Class,San Francisco to London,November 2019,4.0,2.0,3.0,2.0,3.0,1.0,3,0
boeing 777,Family Leisure,Economy Class,London to Mauritius,November 2019,1.0,4.0,1.0,1.0,1.0,1.0,2,0
boeing 747400,Solo Leisure,Economy Class,London to Vancouver,November 2019,2.0,2.0,2.0,1.0,2.0,1.0,3,0
boeing 747400,Couple Leisure,Economy Class,New York to Paris via London,November 2019,1.0,1.0,1.0,1.0,1.0,2.0,1,0
a320,Couple Leisure,Business Class,London Heathrow to Lisbon,November 2019,4.0,1.0,2.0,3.0,5.0,1.0,2,0
boeing 777,Solo Leisure,Economy Class,London to Boston,November 2019,4.0,4.0,4.0,4.0,4.0,1.0,3,1
a320,Business,Economy Class,Tirana to London ,November 2019,4.0,5.0,3.0,5.0,5.0,5.0,5,1
boeing 7879,Couple Leisure,Business Class,Seychelles to London,October 2019,5.0,5.0,5.0,5.0,4.0,1.0,5,1
a320,Couple Leisure,Economy Class,London to Belfast,October 2019,3.0,2.0,3.0,3.0,1.0,1.0,2,0
boeing 787,Couple Leisure,Business Class,San Jose to London,October 2019,2.0,4.0,4.0,1.0,3.0,1.0,2,0
